N,종목명,현재가,전일비,등락률,액면가,매출액,자산총계,영업이익
988.0,TIGER Fn메타버스,6535.0,상승  115,+1.79%,0.0,,,
989.0,휴비스,2595.0,상승  15,+0.58%,5000.0,9277.0,7827.0,-716.0
990.0,깨끗한나라,2395.0,상승  20,+0.84%,1000.0,5149.0,6415.0,-189.0
991.0,TIGER 국채3년,107695.0,상승  100,+0.09%,0.0,,,
992.0,히어로즈 단기채권ESG액티브,106560.0,상승  20,+0.02%,0.0,,,
993.0,DRB동일,4425.0,상승  270,+6.50%,500.0,7378.0,9637.0,358.0
994.0,텔코웨어,9530.0,상승  20,+0.21%,500.0,406.0,1268.0,30.0
995.0,KODEX 2차전지핵심소재10,4240.0,상승  80,+1.92%,0.0,,,
996.0,동부건설,3815.0,하락  10,-0.26%,5000.0,19000.0,18075.0,302.0
997.0,무림페이퍼,2090.0,상승  10,+0.48%,2500.0,13219.0,23926.0,678.0
998.0,TIGER 배당커버드콜액티브,9815.0,상승  125,+1.29%,0.0,,,
999.0,HANARO 머니마켓액티브,50895.0,상승  10,+0.02%,0.0,,,
1000.0,일동홀딩스,7460.0,하락  30,-0.40%,1000.0,6384.0,8770.0,-796.0
1001.0,KOSEF 미국S&P500,17520.0,상승  210,+1.21%,0.0,,,
1002.0,이스타코,2000.0,하락  150,-6.98%,500.0,133.0,795.0,-17.0
1003.0,한투 블룸버그 인버스 2X 천연가스선물 ETN,42470.0,상승  400,+0.95%,0.0,,,
1004.0,KODEX 200미국채혼합,12935.0,상승  25,+0.19%,0.0,,,
1005.0,KB 레버리지 나스닥 100 ETN,28210.0,상승  745,+2.71%,0.0,,,
1006.0,황금에스티,4975.0,상승  75,+1.53%,500.0,3551.0,5135.0,293.0
1007.0,형지엘리트,2375.0,하락  120,-4.81%,500.0,1327.0,1432.0,70.0
1008.0,신영와코루,9350.0,상승  150,+1.63%,500.0,2028.0,4017.0,22.0
1009.0,동방아그로,6140.0,상승  20,+0.33%,500.0,1643.0,2244.0,136.0
1010.0,TIGER 200 중공업,5690.0,하락  10,-0.18%,0.0,,,
1011.0,대호에이엘,1231.0,하락  63,-4.87%,500.0,1816.0,1459.0,84.0
1012.0,KODEX 성장주,13860.0,상승  245,+1.80%,0.0,,,
1013.0,크라운해태홀딩스,5600.0,보합0,0.00%,500.0,10355.0,11558.0,710.0
1014.0,세이브존I&C,2025.0,상승  25,+1.25%,1000.0,1238.0,5848.0,110.0
1015.0,KODEX 은선물(H),5370.0,상승  25,+0.47%,0.0,,,
1016.0,유유제약,4800.0,상승  35,+0.73%,1000.0,1372.0,1982.0,4.0
