CNT,LOTID,WNO,REFX,REFY,WSIZE,FZ,CX,CY,FX,FY,STIME,ETIME,EQPID,DEVICE,CUSTOMER,PCID,OPID,PROGRAMNAME,GOODFLAG,SORTFLAG,TMODE,PARA,R1,R2,R3,R4,R5,SI,SCNT,SCT,SIT,STOPTIME,DT,RT,SAT,REPBINPER,SHOT,TESTDIE,GOOD,FAIL,BIN1,BIN2,BIN3,BIN4,BIN5,BIN6,BIN7,BIN8,BIN9,BIN10,BIN11,BIN12,BIN13,BIN14,BIN15,BIN16,BIN17,BIN18,BIN19,BIN20,BIN21,BIN22,BIN23,BIN24,BIN25,BIN26,BIN27,BIN28,BIN29,BIN30,BIN31,BIN32,BIN33,BIN34,BIN35,BIN36,BIN37,BIN38,BIN39,BIN40,BIN41,BIN42,BIN43,BIN44,BIN45,BIN46,BIN47,BIN48,BIN49,BIN50,BIN51,BIN52,BIN53,BIN54,BIN55,BIN56,BIN57,BIN58,BIN59,BIN60,BIN61,BIN62,BIN63,BIN64,BIN65,BIN66,BIN67,BIN68,BIN69,BIN70,BIN71,BIN72,BIN73,BIN74,BIN75,BIN76,BIN77,BIN78,BIN79,BIN80,BIN81,BIN82,BIN83,BIN84,BIN85,BIN86,BIN87,BIN88,BIN89,BIN90,BIN91,BIN92,BIN93,BIN94,BIN95,BIN96,BIN97,BIN98,BIN99,BIN100,BIN101,BIN102,BIN103,BIN104,BIN105,BIN106,BIN107,BIN108,BIN109,BIN110,BIN111,BIN112,BIN113,BIN114,BIN115,BIN116,BIN117,BIN118,BIN119,BIN120,BIN121,BIN122,BIN123,BIN124,BIN125,BIN126,BIN127,BIN128,OD,REALDIE,AVGCTIME,AVGITIME,SUMLOSSTIME,WTIME,BOSTID,PCT,ZHEIGHT,ZMOVE,PTEMP
0,139N34,10,19,29,8,5,2100,2100,-79077,-54377,20240117103508,20240117104314,IPST018,SM3010_S,SI-MITUS,SM3010P2-A0318,223099,SM3010S_FR18P2_BBD_R182,1,P2,FAILBIN,18,0,0,0,0,0,200,0,376.39,92.38,16.86,0,0,0,0,134,6502,6338,164,6338,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31,5,0,15,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,5,1,32,0,4,0,0,0,0,0,0,0,1,0,6,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,58,100,169,3.802,0.335,16.86,8.1,,22.99,22934,500,30
0,13B453,11,55,10,8,5,1750,2940,-203,-64894,20240117084050,20240117104513,AT209,KTZ8866EKAA-TR-DBAAA,KINETIC,KTZ8866FT-A0106,220078,5BX8866XXX_WGC06_M1F04,1,NORMAL,ALLBIN,6,10,0,83,0,87,100,0,6903.13,409.48,0,0,148.04,0,12.9,973,5545,5425,120,5425,0,0,0,10,0,70,4,0,1,2,5,1,2,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,16,0,1,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,130,5545,7.204,0.335,0,124.38,,10.52,30173,500,29.9
0,KB20356R2,21,77,17,8,5,1240,1240,-24,-75786,20240117101915,20240117104700,E364BT002,HL5095KCWL01,HALOMICRO,HL5095KFT-E0212,523225,HL5095KCWL01_103KL_V12,1,NORMAL,FAILBIN,12,0,0,0,0,0,200,0,1314.91,184.31,0,0,0,0,0,534,18331,17881,450,17881,0,0,0,0,19,0,19,3,0,0,171,118,1,46,12,25,0,0,0,5,0,0,0,0,0,0,0,0,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,140,539,2.77133,0.22545,0,27.75,,140.92,26762,-500,30
0,QJJ0542,8,38,20,8,3,1960,1160,-42609,-84109,20240117101419,20240117105310,IPST803,SM5109C_C,SI-MITUS,SM5109C-A0236,224077,SM5109CC_FR36_BB_R110,1,NORMAL,ALLBIN,36,12,0,46,0,58,200,0,1909.52,298.86,0,0,120.93,0,27.59,442,12424,12382,42,12382,3,8,3,0,2,0,1,0,1,0,1,0,0,15,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,12424,4.528,0.584,0,38.85,,10.67,23198,500,30
0,YFL0472,9,37,6,8,5,2620,2970,-1,-80057,20240117085114,20240117105502,AT203,HL7132FWL01,HALOMICRO,HL7132FT-A0608,220078,HL7132FWL01_402_V05_T08,1,NORMAL,ALLBIN,8,1,0,20,0,20,0,0,7022.3,263.64,0,0,139.15,0,0,486,3597,3425,172,3425,0,0,0,1,18,34,0,0,0,30,0,1,0,0,0,0,4,3,1,7,0,1,1,0,0,3,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,11,0,39,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,3597,14.591,0.44,0,123.8,,11.4,31660,500,29.9
0,13B344,9,55,10,8,5,1750,2940,-202,-64884,20240117085709,20240117110229,AT204,KTZ8866EKAA-TR-DBAAA,KINETIC,KTZ8866FT-A0206,220078,5BX8866XXX_WGC06_M1F04,1,NORMAL,ALLBIN,6,15,0,61,0,72,100,0,6787.77,540.09,0,0,190.59,0,31.58,973,5545,5473,72,5473,0,0,0,15,0,38,4,0,0,0,2,0,3,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,5545,7.123,0.446,0,125.33,,10.49,28637,500,29.9
0,13A521,5,19,29,8,5,2100,2100,-78952,-54617,20240117103629,20240117111925,IPST802,SM3010_S,SI-MITUS,SM3010P2-A0118,523215,SM3010S_FR18P2_BBD_R182,1,P2,NORMAL,18,0,0,105,0,97,200,0,1851.27,321.91,0,0,401.91,0,93.33,426,6502,6293,209,6293,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,4,1,9,10,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,2,2,0,44,0,0,0,0,0,0,4,0,0,1,1,4,4,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,93,130,6409,4.3845,0.685,0,42.93,,11.24,23213,500,30
0,13B139,16,19,29,8,5,2100,2100,-78942,-54624,20240117104447,20240117112335,IPS52T001,SM3010_S,SI-MITUS,SM3010P1-A0118,523215,SM3010S_FR18P1_LBD_R182,1,P1,ALLBIN,18,3,0,10,0,13,200,0,2058.34,228.55,0,0,39.37,0,23.08,426,6502,6453,49,6453,0,3,3,0,20,5,0,0,1,5,0,0,0,0,0,0,0,0,0,0,0,4,1,0,6,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,6502,4.908,0.41,0,38.8,,17.38,23492,500,30
0,60RZAC,11,17,18,8,5,3750,3750,-71697,-63560,20240117085842,20240117112522,IPS52T016,SM5714A,SI-MITUS,SM5714-A20E,523215,SM5714A_FR08_BBA_R902,1,NORMAL,ALLBIN,8,5,0,199,0,160,200,0,6459.74,121.61,0,0,2218.6,0,41.18,321,1978,1807,171,1807,0,6,0,3,0,9,0,0,1,0,0,0,8,0,0,1,3,0,0,1,2,1,0,0,1,0,0,2,2,0,0,59,3,1,23,3,0,0,1,1,0,3,0,26,1,0,0,0,0,9,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,1978,20.43,0.27,0,146.67,,8.62,23499,500,30
0,KB28166,14,77,17,8,5,1240,1240,-16,-75779,20240117102924,20240117112642,E364BT010,HL5095KCWL01,HALOMICRO,HL5095KFT-E0112,523215,HL5095KCWL01_103KL_V12,1,NORMAL,FAILBIN,12,0,0,0,0,0,1,0,2973.3,345.69,0,0,0,0,0,1245,18331,17624,707,17624,0,0,0,0,2,0,21,0,1,0,591,51,1,0,1,7,0,0,0,0,0,0,0,0,0,0,0,0,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,120,1923,2.92913,0.19561,0,57.3,,113.31,28940,500,29.9
0,60T0WT,14,17,18,8,5,3750,3750,-71710,-63539,20240117085357,20240117112723,IPS52T019,SM5714A,SI-MITUS,SM5714-A23E,218077,SM5714A_FR08_BBA_R902,1,NORMAL,ALLBIN,8,8,0,218,0,177,200,0,6235.58,124.41,0,0,2845.58,0,63.27,321,1978,1790,188,1790,0,7,2,8,0,20,0,2,1,3,6,0,13,0,0,1,7,0,0,5,1,2,0,0,2,0,0,0,0,2,0,3,0,17,20,3,0,0,2,3,0,6,2,45,1,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,1978,20.397,0.273,0,153.43,,9.57,23766,500,30
0,QJJ0542,9,38,20,8,3,1960,1160,-42608,-84112,20240117105427,20240117113511,IPST803,SM5109C_C,SI-MITUS,SM5109C-A0236,224077,SM5109CC_FR36_BB_R110,1,NORMAL,ALLBIN,36,11,0,82,0,81,200,0,1908.96,296.98,0,0,237.16,0,51.61,442,12424,12379,45,12379,3,8,2,0,2,0,1,0,6,0,0,0,0,12,1,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,12424,4.525,0.584,0,40.73,,10.78,23196,500,30
